
BUSES AND NODES IN ACTIVE CIRCUIT: 5002086

                                                         Coord                                 Number of     Nodes
  Bus                               Base kV             (x, y)                      Keep?       Nodes        connected ...
"94511475002086"                  13.800          ( -49.311588333, -16.606431952)     No           3          1    2    3 
"94511475002086b"                 13.800          ( -49.311588333, -16.606431952)     No           3          1    2    3 
"94777705002086"                  13.800          ( -49.318015377, -16.612090851)     No           3          1    2    3 
"94777705002086b"                 13.800          ( -49.318015377, -16.612090851)     No           3          1    2    3 
"95200765002086"                  13.800          ( -49.323054979, -16.620318047)     No           3          1    2    3 
"95200765002086b"                 13.800          ( -49.323054979, -16.620318047)     No           3          1    2    3 
"95217345002086"                  13.800          ( -49.31813511 , -16.602941281)     No           3          1    2    3 
"95217345002086b"                 13.800          ( -49.31813511 , -16.602941281)     No           3          1    2    3 
"95404015002086"                  13.800          ( -49.328386589, -16.619676678)     No           3          1    2    3 
"95404015002086b"                 13.800          ( -49.328386589, -16.619676678)     No           3          1    2    3 
"96264645002086"                  13.800          ( -49.319731252, -16.611065271)     No           3          1    2    3 
"96264645002086b"                 13.800          ( -49.319731252, -16.611065271)     No           3          1    2    3 
"82064415002086b"                 13.800          ( -49.31379458 , -16.614248019)     No           3          1    2    3 
"82064415002086"                  13.800          ( -49.31379458 , -16.614248019)     No           3          1    2    3 
"i888888516565002086b"            13.800          ( -49.322607295, -16.577433884)     No           3          1    2    3 
"i888888516565002086"             13.800          ( -49.322607295, -16.577433884)     No           3          1    2    3 
"i888888516575002086b"            13.800          ( -49.322607295, -16.577400125)     No           3          1    2    3 
"i888888516575002086"             13.800          ( -49.322607295, -16.577400125)     No           3          1    2    3 
"i888888516555002086b"            13.800          ( -49.322606984, -16.577460768)     No           3          1    2    3 
"i888888516555002086"             13.800          ( -49.322606984, -16.577460768)     No           3          1    2    3 
"i888888340825002086"             13.800          ( -49.322999727, -16.577465715)     No           3          1    2    3 
"i888888340825002086b"            13.800          (           NA,            NA )     No           3          1    2    3 
"82021285002086"                  13.800          ( -49.312354672, -16.605991541)     No           3          1    2    3 
"82021835002086"                  13.800          ( -49.31208156 , -16.606151983)     No           3          1    2    3 
"82021855002086"                  13.800          ( -49.31769255 , -16.602167084)     No           3          1    2    3 
"82021885002086"                  13.800          ( -49.317886122, -16.602539171)     No           3          1    2    3 
"82021925002086"                  13.800          ( -49.318006139, -16.602747995)     No           3          1    2    3 
"82021905002086"                  13.800          ( -49.318208709, -16.602620093)     No           3          1    2    3 
"82021915002086"                  13.800          ( -49.318052329, -16.602820648)     No           3          1    2    3 
"95217355002086"                  13.800          ( -49.31807806 , -16.602858145)     No           3          1    2    3 
"82021955002086"                  13.800          ( -49.318580954, -16.603466489)     No           3          1    2    3 
"82021975002086"                  13.800          ( -49.31876563 , -16.60378428 )     No           3          1    2    3 
"82021935002086"                  13.800          ( -49.31821889 , -16.60306598 )     No           3          1    2    3 
"82021995002086"                  13.800          ( -49.318959505, -16.604111185)     No           3          1    2    3 
"82022055002086"                  13.800          ( -49.319368157, -16.603463834)     No           3          1    2    3 
"82022225002086"                  13.800          ( -49.319650636, -16.603312513)     No           3          1    2    3 
"82023945002086"                  13.800          ( -49.319933183, -16.603152136)     No           3          1    2    3 
"82023955002086"                  13.800          ( -49.320281693, -16.602956128)     No           3          1    2    3 
"82024125002086"                  13.800          ( -49.320573615, -16.60278679 )     No           3          1    2    3 
"82024135002086"                  13.800          ( -49.320893902, -16.602599607)     No           3          1    2    3 
"82024145002086"                  13.800          ( -49.321204659, -16.60243042 )     No           3          1    2    3 
"82024315002086"                  13.800          ( -49.321571853, -16.602234589)     No           3          1    2    3 
"82024325002086"                  13.800          ( -49.321812453, -16.602097588)     No           3          1    2    3 
"82019985002086"                  13.800          ( -49.31361145 , -16.608034997)     No           3          1    2    3 
"82019965002086"                  13.800          ( -49.313829433, -16.608464367)     No           3          1    2    3 
"82020015002086"                  13.800          ( -49.313500806, -16.607826246)     No           3          1    2    3 
"82020025002086"                  13.800          ( -49.31339024 , -16.607608459)     No           3          1    2    3 
"82020055002086"                  13.800          ( -49.313224314, -16.607290815)     No           3          1    2    3 
"82020075002086"                  13.800          ( -49.312993734, -16.606864201)     No           3          1    2    3 
"82020185002086"                  13.800          ( -49.315982619, -16.605876353)     No           3          1    2    3 
"82020175002086"                  13.800          ( -49.316198446, -16.606190016)     No           3          1    2    3 
"82020195002086"                  13.800          ( -49.315853545, -16.605631306)     No           3          1    2    3 
"82024515002086"                  13.800          ( -49.319899322, -16.605971311)     No           3          1    2    3 
"82020405002086"                  13.800          ( -49.315641009, -16.605295211)     No           3          1    2    3 
"82020415002086"                  13.800          ( -49.315465315, -16.605022764)     No           3          1    2    3 
"82020525002086"                  13.800          ( -49.312855845, -16.606555912)     No           3          1    2    3 
"82020555002086"                  13.800          ( -49.312680627, -16.606229155)     No           3          1    2    3 
"82020675002086"                  13.800          ( -49.315271193, -16.604713929)     No           3          1    2    3 
"82024585002086"                  13.800          ( -49.319281449, -16.604809642)     No           3          1    2    3 
"82024615002086"                  13.800          ( -49.31959341 , -16.605200034)     No           3          1    2    3 
"82024625002086"                  13.800          ( -49.319775483, -16.60549503 )     No           3          1    2    3 
"82024635002086"                  13.800          ( -49.319872782, -16.605705578)     No           3          1    2    3 
"82036795002086"                  13.800          ( -49.319692523, -16.606041931)     No           3          1    2    3 
"82025745002086"                  13.800          ( -49.330934111, -16.628299562)     No           3          1    2    3 
"82025735002086"                  13.800          ( -49.331207722, -16.628093913)     No           3          1    2    3 
"82025755002086"                  13.800          ( -49.330698381, -16.62846033 )     No           3          1    2    3 
"82025905002086"                  13.800          ( -49.330105524, -16.628835562)     No           3          1    2    3 
"82025915002086"                  13.800          ( -49.330387277, -16.628665676)     No           3          1    2    3 
"82025985002086"                  13.800          ( -49.329681275, -16.629021469)     No           3          1    2    3 
"82025995002086"                  13.800          ( -49.329417816, -16.629136828)     No           3          1    2    3 
"82026005002086"                  13.800          ( -49.329163339, -16.629297444)     No           3          1    2    3 
"82026015002086"                  13.800          ( -49.32888988 , -16.629485017)     No           3          1    2    3 
"82026025002086"                  13.800          ( -49.328559889, -16.629708264)     No           3          1    2    3 
"82025035002086"                  13.800          ( -49.328362754, -16.629742823)     No           3          1    2    3 
"82026375002086"                  13.800          ( -49.328530675, -16.625505951)     No           3          1    2    3 
"82026385002086"                  13.800          ( -49.328706408, -16.625778476)     No           3          1    2    3 
"82026685002086"                  13.800          ( -49.330908662, -16.626907665)     No           3          1    2    3 
"82026705002086"                  13.800          ( -49.330845789, -16.626590866)     No           3          1    2    3 
"82026915002086"                  13.800          ( -49.33431187 , -16.624639722)     No           3          1    2    3 
"82026925002086"                  13.800          ( -49.334221656, -16.624232336)     No           3          1    2    3 
"82027165002086"                  13.800          ( -49.334430835, -16.624975008)     No           3          1    2    3 
"82024995002086"                  13.800          ( -49.330164506, -16.617575804)     No           3          1    2    3 
"82026965002086"                  13.800          ( -49.330241969, -16.617287272)     No           3          1    2    3 
"82025005002086"                  13.800          ( -49.330375964, -16.616937692)     No           3          1    2    3 
"82028375002086"                  13.800          ( -49.333089864, -16.619946218)     No           3          1    2    3 
"82028365002086"                  13.800          ( -49.332929998, -16.620232   )     No           3          1    2    3 
"82028385002086"                  13.800          ( -49.333369142, -16.620098617)     No           3          1    2    3 
"82028395002086"                  13.800          ( -49.333701745, -16.6202815  )     No           3          1    2    3 
"82028405002086"                  13.800          ( -49.333860393, -16.62035338 )     No           3          1    2    3 
"82029135002086"                  13.800          ( -49.332692424, -16.621869037)     No           3          1    2    3 
"82028315002086"                  13.800          ( -49.333003082, -16.621830632)     No           3          1    2    3 
"82029145002086"                  13.800          ( -49.333186392, -16.621491634)     No           3          1    2    3 
"82027655002086"                  13.800          ( -49.333340686, -16.621240722)     No           3          1    2    3 
"82027665002086"                  13.800          ( -49.333515196, -16.620945753)     No           3          1    2    3 
"82027685002086"                  13.800          ( -49.33364669 , -16.620713221)     No           3          1    2    3 
"82027695002086"                  13.800          ( -49.333802219, -16.620445182)     No           3          1    2    3 
"82027705002086"                  13.800          ( -49.333965748, -16.620403342)     No           3          1    2    3 
"82027715002086"                  13.800          ( -49.3339489  , -16.620194281)     No           3          1    2    3 
"82027725002086"                  13.800          ( -49.334090506, -16.619945836)     No           3          1    2    3 
"82027735002086"                  13.800          ( -49.334230603, -16.619714652)     No           3          1    2    3 
"82027145002086"                  13.800          ( -49.33470623 , -16.625645924)     No           3          1    2    3 
"82027135002086"                  13.800          ( -49.334445752, -16.625847112)     No           3          1    2    3 
"82027205002086"                  13.800          ( -49.333853669, -16.626256111)     No           3          1    2    3 
"82027195002086"                  13.800          ( -49.334171045, -16.626036776)     No           3          1    2    3 
"82026625002086"                  13.800          ( -49.332106715, -16.627452162)     No           3          1    2    3 
"82026615002086"                  13.800          ( -49.332390751, -16.627254764)     No           3          1    2    3 
"82026655002086"                  13.800          ( -49.331406037, -16.627923806)     No           3          1    2    3 
"82026675002086"                  13.800          ( -49.331055421, -16.627279362)     No           3          1    2    3 
"82026645002086"                  13.800          ( -49.331538039, -16.627834498)     No           3          1    2    3 
"82026635002086"                  13.800          ( -49.331801916, -16.627664928)     No           3          1    2    3 
"88185395002086"                  13.800          ( -49.334180626, -16.624130998)     No           3          1    2    3 
"82029245002086"                  13.800          ( -49.334074817, -16.62386968 )     No           3          1    2    3 
"82029255002086"                  13.800          ( -49.333937273, -16.623516135)     No           3          1    2    3 
