SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 0, 4
ClickOn
SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 1, 0
Xlabel, "X"
Ylabel, "Y"
TxtAlign, 1
KeyClass, 1
Width, 4
Marker, -49.322706, -16.577557,  255, 24, 3
Line, "Line.smt_53073019", "81461115002086.1.2.3", "81461125002086.1.2.3", 12288, 6,  0, 288, 7.9674337, 2.914563, -49.319893, -16.596867, -49.320041, -16.597112, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53073020", "81461125002086.1.2.3", "81461135002086.1.2.3", 12480, 6,  0, 288, 7.9674337, 2.946655, -49.320041, -16.597112, -49.320215, -16.597428, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53073021", "81461135002086.1.2.3", "81461145002086.1.2.3", 12672, 6,  0, 288, 7.9674337, 2.987378, -49.320215, -16.597428, -49.320485, -16.59774, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53073022", "81461145002086.1.2.3", "81461075002086.1.2.3", 12864, 6,  0, 288, 7.9674337, 3.033074, -49.320485, -16.59774, -49.320634, -16.598035, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072915", "81461075002086.1.2.3", "81461095002086.1.2.3", 13056, 6,  0, 288, 7.9674337, 3.069658, -49.320634, -16.598035, -49.320604, -16.598242, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072916", "81461095002086.1.2.3", "81461065002086.1.2.3", 13248, 6,  0, 288, 7.9674337, 3.093287, -49.320604, -16.598242, -49.320311, -16.598492, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072914", "81461065002086.1.2.3", "81461055002086.1.2.3", 13440, 6,  0, 288, 7.9674337, 3.136002, -49.320311, -16.598492, -49.319944, -16.598616, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072913", "81461055002086.1.2.3", "81461045002086.1.2.3", 13632, 6,  0, 288, 7.9674337, 3.178373, -49.319944, -16.598616, -49.319606, -16.598794, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072912", "81461045002086.1.2.3", "81461035002086.1.2.3", 13824, 6,  0, 288, 7.9674337, 3.220475, -49.319606, -16.598794, -49.319267, -16.598981, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072911", "81461035002086.1.2.3", "82023415002086.1.2.3", 14016, 6,  0, 288, 7.9674337, 3.263092, -49.319267, -16.598981, -49.318928, -16.599159, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072910", "82023415002086.1.2.3", "82023405002086.1.2.3", 14208, 6,  0, 288, 7.9674337, 3.305203, -49.318928, -16.599159, -49.318589, -16.599337, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_54662608", "82023405002086.1.2.3", "90350005002086.1.2.3", 14400, 6,  0, 288, 7.9674337, 3.347314, -49.318589, -16.599337, -49.318392, -16.59945, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_54662607", "90350005002086.1.2.3", "83311705002086.1.2.3", 14592, 6,  0, 2, 7.9674337, 3.372345, -49.318392, -16.59945, -49.318188, -16.599268, 0, 1, 0, 0, 0, 0, 0, 0
Line, "Line.smt_54662606", "83311705002086.1.2.3", "90349975002086.1.2.3", 14784, 6,  0, 2, 7.9674337, 3.402596, -49.318188, -16.599268, -49.318006, -16.599015, 0, 1, 0, 0, 0, 0, 0, 0
Line, "Line.trf_5558213a", "90349975002086.1.2.3", "90349975558213.1.2.3.4", 14976, 8,  2, 2, 7.9674337, 3.437524, -49.318006, -16.599015, -49.31799, -16.598992, 0, 1, 0, 0, 0, 0, 0, 0
Line, "Line.smt_54662605", "90350005002086.1.2.3", "90349985002086.1.2.3", 15232, 6,  0, 0, 7.9674337, 3.372345, -49.318392, -16.59945, -49.318392, -16.59945, 0, 1, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072909", "90350005002086.1.2.3", "82023395002086.1.2.3", 15424, 6,  0, 286, 7.9674337, 3.372345, -49.318392, -16.59945, -49.318392, -16.59945, 0, 10, 0, 0, 0, 0, 0, 0
